樂園裡種了{a}棵榕樹，{b}棵榕樹和{c}棵榕樹，合起來有幾棵樹？,={a}+{b}+{c}
紀念品店裡的玩偶上午賣出{a}隻，下午賣出{b}隻，晚上賣出{c}隻，今天共賣出幾隻？,={a}+{b}+{c}
小吃店準備了{a+b+c}瓶果汁，上午賣出{b}瓶，下午賣出{c}瓶，還剩下幾瓶？,={a}
廚師準備了{a+b+c}顆蛋，做蛋炒飯用去{b}顆，做蛋花湯用去{c}顆，還剩下幾顆？,={a}
火車上有{a+b}個人，到站時有{b}個人下車，又上來{c}個人，現在火車上有多少個人？,={a}+{c}
芯語原來有{a+b}元，媽媽給她{c}元去買一張{b}元的車票，找回來的錢給芯語，芯語現在有多少元？,={a}+{c}
一瓶膠水賣{a}元，一包色紙比一瓶膠水貴{b}元，彥辰買了一瓶膠水和一包色紙，共要付幾元？,=2*{a}+{b}
一本故事書賣{a+b}元，一本筆記本比一本故事書便宜{b}元，各買一本，共要付幾元？,=2*{a}+{b}
宇翔在書店花了{a}元，芯語比宇翔多花{b}元，宥希比芯語多花{c}元，宥希花幾元？,={a}+{b}+{c}
豆豆，妮妮，奇奇三個都喜歡收集遊戲卡，豆豆有{a+b}張，妮妮比豆豆少{b}張，奇奇比妮妮多{c}張，奇奇有幾張遊戲卡?,={a}+{c}
